mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1007120614,1123010100100010002,서울특별시 동대문구 신설동 1-2번지,서울특별시 동대문구 한빛로 42 (신설동),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 주택",근린생활2,철근콘크리트구조,(철근)콘크리트,287.0,0.0,1062.03,0.0,0.0,0.0,6,1,0,0,0,0,1,0,0,0,0,1991-10-01,1992-03-16,1993-02-25,2022-08-13
1007113605,1123010100100020000,서울특별시 동대문구 신설동 2번지,서울특별시 동대문구 한빛로 40 (신설동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,146.47,86.67,410.61,59.17,223.6,12.3,4,1,0,0,0,0,1,0,0,0,3,1997-03-03,1997-05-10,1997-08-25,2022-08-13
100719511,1123010100100030004,서울특별시 동대문구 신설동 3-4번지,서울특별시 동대문구 한빛로 42-6 (신설동),,,일반건축물,01000,단독주택,"근린생활시설, 주택",,벽돌구조,(철근)콘크리트,199.78,116.17,331.98,58.15,146.4,8.6,3,1,0,0,0,0,1,0,0,0,2,1996-04-27,1996-06-12,1996-11-04,2022-08-13
100714520,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,일반목구조,기타지붕,0.0,20.2,20.2,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1948-09-07,2022-08-13
100714518,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,66.12,66.12,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1957-07-15,2022-08-13
100714519,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,26.45,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100714524,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,77.95,77.95,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100714521,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,34.12,34.12,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100714523,1123010100100040000,서울특별시 동대문구 신설동 4번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,28.56,28.56,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1962-11-10,2022-08-13
100712443,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100712444,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,23.8,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100712441,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100712445,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,33.06,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100712442,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,23.8,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100712440,1123010100100040003,서울특별시 동대문구 신설동 4-3번지,,,,일반건축물,17000,공장,공장,,벽돌구조,기와,0.0,0.0,152.07,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1956-07-06,2022-08-13
1007125235,1123010100100040005,서울특별시 동대문구 신설동 4-5번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,59.5,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100713745,1123010100100040026,서울특별시 동대문구 신설동 4-26번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,34.05,34.05,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1957-03-15,2022-08-13
100713746,1123010100100040026,서울특별시 동대문구 신설동 4-26번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,24.2,24.2,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1000000000000001151033,1123010100100060000,서울특별시 동대문구 신설동 6번지,서울특별시 동대문구 왕산로7길 23 (신설동),캐슬루체,102동,표제부,02000,공동주택,도시형생활주택-단지형다세대,,철근콘크리트구조,(철근)콘크리트,640.0,172.76,770.54,26.99,99.19,21.0,6,1,1,0,3,14,0,0,0,0,0,2020-09-23,2021-06-10,2023-01-17,2023-01-20
1000000000000001150967,1123010100100060000,서울특별시 동대문구 신설동 6번지,서울특별시 동대문구 왕산로7길 23 (신설동),캐슬루체,101동,표제부,02000,공동주택,도시형생활주택-단지형다세대주택,,철근콘크리트구조,(철근)콘크리트,640.0,154.24,821.68,24.1,96.49,21.0,6,1,1,0,0,15,0,0,0,0,0,2020-09-23,2021-06-10,2023-01-17,2023-01-20
10071100182946,1123010100100080001,서울특별시 동대문구 신설동 8-1번지,서울특별시 동대문구 왕산로7길 31 (신설동),,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,623.12,303.37,1244.03,48.69,199.65,18.8,7,0,0,0,0,16,0,0,0,12,4,2008-05-19,2008-06-10,2008-10-13,2022-08-13
10071100224432,1123010100100080002,서울특별시 동대문구 신설동 8-2번지,서울특별시 동대문구 왕산로7가길 5 (신설동),,,일반건축물,01000,단독주택,다가구주택,,철근콘크리트구조,(철근)콘크리트,101.0,54.216,173.515,53.679,171.797,10.9,4,0,0,0,0,0,2,0,0,2,0,2015-05-20,2015-06-08,2016-02-16,2022-08-13
1007110239,1123010100100150000,서울특별시 동대문구 신설동 15번지,서울특별시 동대문구 한빛로 32-1 (신설동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,307.04,150.96,1049.04,49.16,293.74,17.9,6,1,1,0,0,0,0,0,0,5,2,1991-05-24,1991-10-11,1992-05-11,2024-06-18
1007131135,1123010100100160000,서울특별시 동대문구 신설동 16번지,서울특별시 동대문구 한빛로 32 (신설동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,535.24,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,,,1969-07-07,2022-08-13
1007118834,1123010100100180000,서울특별시 동대문구 신설동 18번지,서울특별시 동대문구 한빛로 30 (신설동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,202.29,100.16,634.5,49.51,247.57,16.9,5,1,0,0,0,0,1,0,0,1,4,1991-09-12,,1992-04-14,2022-08-13
100712453,1123010100100200000,서울특별시 동대문구 신설동 20번지,서울특별시 동대문구 한빛로 28-1 (신설동),,,일반건축물,03000,제1종근린생활시설,점포,근린생활1,블록구조,슬레이트,0.0,74.31,74.31,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1985-06-29,2022-08-13
100712452,1123010100100200000,서울특별시 동대문구 신설동 20번지,서울특별시 동대문구 한빛로 28-1 (신설동),,,일반건축물,03000,제1종근린생활시설,"주택, 근린생활시설, 사무실, 점포, 주차장",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,461.78,0.0,0.0,0.0,4,1,0,0,0,0,1,0,0,0,0,,,1975-11-15,2022-08-13
1007111781,1123010100100210000,서울특별시 동대문구 신설동 21번지,서울특별시 동대문구 한빛로 28 (신설동),,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,332.92,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1969-12-12,2022-08-13
1007127029,1123010100100220000,서울특별시 동대문구 신설동 22번지,서울특별시 동대문구 한빛로 26-1 (신설동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,108.45,92.8,157.75,85.57,145.46,7.8,2,0,0,0,0,0,0,0,0,0,0,,,1961-05-10,2022-08-13
1007110751,1123010100100230000,서울특별시 동대문구 신설동 23번지,서울특별시 동대문구 한빛로 26 (신설동),,,일반건축물,03000,제1종근린생활시설,"업무시설, 근린생활시설",근린생활1,철근콘크리트구조,(철근)콘크리트,240.22,0.0,777.58,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,1985-03-09,,1985-09-28,2022-08-13
1007126616,1123010100100240001,서울특별시 동대문구 신설동 24-1번지,서울특별시 동대문구 한빛로 24 (신설동),,,표제부,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,350.6,0.0,914.31,0.0,0.0,0.0,3,1,0,0,0,2,0,0,0,0,0,1984-07-31,,1985-01-16,2022-08-13
100718134,1123010100100250002,서울특별시 동대문구 신설동 25-2번지,서울특별시 동대문구 한빛로 22 (신설동),,,일반건축물,01000,단독주택,"주택, 제2종근린생활시설",,철근콘크리트구조,(철근)콘크리트,0.0,0.0,209.16,0.0,0.0,0.0,3,0,0,0,0,0,1,0,0,0,0,,,1971-10-10,2022-08-13
1007130777,1123010100100250032,서울특별시 동대문구 신설동 25-32번지,서울특별시 동대문구 왕산로3가길 35 (신설동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,0.0,118.88,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1966-10-21,2022-08-13
1007121579,1123010100100250033,서울특별시 동대문구 신설동 25-33번지,서울특별시 동대문구 왕산로3가길 31 (신설동),,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,벽돌구조,(철근)콘크리트,0.0,0.0,210.24,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1966-06-20,2022-08-13
10071100189818,1123010100100250034,서울특별시 동대문구 신설동 25-34번지,서울특별시 동대문구 왕산로3길 20 (신설동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,281.02,168.37,813.47,59.91,289.47,22.7,7,0,1,0,0,0,0,0,0,4,0,2009-10-14,2010-02-05,2010-11-09,2022-08-13
1007132795,1123010100100250036,서울특별시 동대문구 신설동 25-36번지,서울특별시 동대문구 왕산로3길 18-1 (신설동),,,일반건축물,01000,단독주택,다가구용 단독주택 (6가구),,벽돌구조,(철근)콘크리트,151.73,75.44,249.1,49.72,99.44,0.0,2,1,0,0,0,0,6,0,0,0,0,1990-05-07,,1990-09-29,2022-08-13
1007126834,1123010100100250037,서울특별시 동대문구 신설동 25-37번지,서울특별시 동대문구 왕산로3길 18-2 (신설동),,,일반건축물,01000,단독주택,단독주택 외1,,철근콘크리트구조,(철근)콘크리트,136.0,78.75,326.24,57.9,189.19,13.0,5,1,0,0,0,0,6,0,0,2,0,1995-02-23,1995-04-08,1995-11-09,2022-08-13
1007126755,1123010100100250038,서울특별시 동대문구 신설동 25-38번지,서울특별시 동대문구 왕산로3길 16 (신설동),,,일반건축물,01000,단독주택,제2종근린생활시설 외2,,철근콘크리트구조,(철근)콘크리트,148.16,88.18,396.76,59.51,218.34,11.9,4,1,0,0,0,0,1,0,0,0,3,1996-03-18,1996-04-10,1996-09-04,2022-08-13
1007113036,1123010100100290001,서울특별시 동대문구 신설동 29-1번지,서울특별시 동대문구 한빛로 21 (신설동),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 사무실",근린생활2,철근콘크리트구조,(철근)콘크리트,434.07,214.32,1175.48,49.37,223.97,16.0,5,1,0,0,0,0,0,0,0,0,6,1988-04-01,,1989-02-16,2022-08-13
1007111492,1123010100100300003,서울특별시 동대문구 신설동 30-3번지,서울특별시 동대문구 한빛로 19-3 (신설동),신설동 30-3 단독주택 (김영수),,일반건축물,01000,단독주택,"주택,근린생활시설",,일반목구조,기타지붕,0.0,0.0,34.71,0.0,0.0,3.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007111920,1123010100100300004,서울특별시 동대문구 신설동 30-4번지,서울특별시 동대문구 한빛로 19-1 (신설동),,,일반건축물,01000,단독주택,제1종근린생활시설(소매점),,일반목구조,기타지붕,0.0,0.0,34.71,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007133894,1123010100100300005,서울특별시 동대문구 신설동 30-5번지,서울특별시 동대문구 한빛로 19-2 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007113905,1123010100100310001,서울특별시 동대문구 신설동 31-1번지,서울특별시 동대문구 한빛로 19 (신설동),,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설 외3,근린생활1,철근콘크리트구조,(철근)콘크리트,479.0,0.0,1399.2,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,3,4,1989-01-23,,1989-10-24,2022-08-13
1007112718,1123010100100350001,서울특별시 동대문구 신설동 35-1번지,서울특별시 동대문구 한빛로 23-11 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,42.98,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100718252,1123010100100350002,서울특별시 동대문구 신설동 35-2번지,서울특별시 동대문구 한빛로 23-9 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,49.59,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007126632,1123010100100360000,서울특별시 동대문구 신설동 36번지,서울특별시 동대문구 한빛로 23-7 (신설동),,,일반건축물,01000,단독주택,단독주택,,철근콘크리트구조,(철근)콘크리트,96.0,48.5,142.81,50.52,148.76,7.9,3,0,0,0,0,0,1,0,0,0,0,2002-11-18,2002-12-11,2003-04-02,2022-08-13
100713787,1123010100100370000,서울특별시 동대문구 신설동 37번지,서울특별시 동대문구 한빛로 23-24 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,33.06,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100713786,1123010100100370000,서울특별시 동대문구 신설동 37번지,서울특별시 동대문구 한빛로 23-20 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100713785,1123010100100370000,서울특별시 동대문구 신설동 37번지,서울특별시 동대문구 한빛로 23-22 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1936-03-20,2022-08-13
1007136100,1123010100100380001,서울특별시 동대문구 신설동 38-1번지,서울특별시 동대문구 한빛로 23 (신설동),,,일반건축물,03000,제1종근린생활시설,"제1종근린생활시설 , 제2종근린생활시설",근린생활1,벽돌구조,기와,116.0,90.75,90.75,78.23,78.23,4.5,1,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
1007110006,1123010100100390001,서울특별시 동대문구 신설동 39-1번지,서울특별시 동대문구 한빛로 25 (신설동),,,일반건축물,03000,제1종근린생활시설,근린생활시설 외1,근린생활1,일반목구조,기와,0.0,0.0,59.5,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,,,,2022-08-13
10071100247034,1123010100100410000,서울특별시 동대문구 신설동 41번지,서울특별시 동대문구 한빛로 23-18 (신설동),로얄팰리스 D동,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,337.13,198.88,659.39,58.99,195.59,17.2,6,0,1,0,0,19,0,0,0,10,0,2018-10-01,2018-10-16,2019-05-13,2022-08-13
1007111052,1123010100100410010,서울특별시 동대문구 신설동 41-10번지,,,,일반건축물,01000,단독주택,주 택,,벽돌구조,기와,0.0,0.0,46.55,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007130723,1123010100100420001,서울특별시 동대문구 신설동 42-1번지,서울특별시 동대문구 한빛로 27 (신설동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,일반목구조,기와,0.0,0.0,49.59,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1935-10-25,2022-08-13
100717788,1123010100100420002,서울특별시 동대문구 신설동 42-2번지,,,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,일반목구조,기와,0.0,0.0,19.01,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
1007128275,1123010100100450001,서울특별시 동대문구 신설동 45-1번지,서울특별시 동대문구 안암로4길 32 (신설동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,일반목구조,기와,0.0,0.0,52.56,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,,,,2022-08-13
10071100241135,1123010100100450002,서울특별시 동대문구 신설동 45-2번지,서울특별시 동대문구 한빛로 29 (신설동),로얄팰리스,C동,표제부,02000,공동주택,도시형생활주택(단지형다세대),,철근콘크리트구조,(철근)콘크리트,0.0,182.2,658.53,0.0,0.0,17.2,6,0,1,0,0,15,0,0,0,30,0,2017-10-18,2017-12-08,2018-09-05,2022-08-13
10071100241093,1123010100100450002,서울특별시 동대문구 신설동 45-2번지,서울특별시 동대문구 한빛로 29 (신설동),로얄팰리스,A동,표제부,02000,공동주택,"도시형생활주택(단지형다세대), 근린생활시설",,철근콘크리트구조,(철근)콘크리트,0.0,222.82,758.3,0.0,0.0,17.0,6,0,1,0,3,19,0,0,0,0,0,2017-10-18,2017-12-08,2018-09-04,2022-08-13
10071100241116,1123010100100450002,서울특별시 동대문구 신설동 45-2번지,서울특별시 동대문구 한빛로 29 (신설동),로얄팰리스,B동,표제부,02000,공동주택,"도시형생활주택(단지형다세대), 근린생활시설",,철근콘크리트구조,(철근)콘크리트,0.0,227.2,757.95,0.0,0.0,17.2,6,0,1,0,3,15,0,0,0,30,0,2017-10-18,2017-12-08,2018-09-04,2022-08-13
100712431,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,03000,제1종근린생활시설,매점,근린생활1,블록구조,기와,0.0,0.0,75.21,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1973-06-07,2022-08-13
100712429,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),대광고등학교예능관,,일반건축물,10000,교육연구시설,교육연구시설(학교),,철근콘크리트구조,(철근)콘크리트,32866.0,439.15,1441.79,19.58,51.22,12.2,3,1,0,0,0,0,0,0,0,0,8,1997-06-21,1997-07-14,1998-07-11,2022-08-13
100712428,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),대광고등학교 정보종합센타,,일반건축물,10000,교육연구시설,교육연구시설(학교),,철근콘크리트구조,(철근)콘크리트,0.0,604.54,1691.79,0.0,0.0,12.6,3,0,0,0,0,0,0,0,0,0,8,2001-12-31,2002-01-02,2002-10-30,2022-08-13
10071100182405,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),학교법인대광학원,,일반건축물,10000,교육연구시설,교육연구시설(학교),,철근콘크리트구조,(철근)콘크리트,0.0,1473.69,4628.86,0.0,0.0,18.0,4,1,1,0,0,0,0,0,0,29,10,,,2008-08-26,2022-08-13
100712427,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,급식실,일반건축물,10000,교육연구시설,교육연구및복지시설,,철근콘크리트구조,(철근)콘크리트,0.0,284.58,1428.56,0.0,0.0,18.35,5,0,0,0,0,0,0,0,0,0,0,2004-06-25,,2005-01-21,2022-08-13
100712432,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,10000,교육연구시설,교사,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,6722.87,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,,,1960-10-30,2022-08-13
100712433,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,13000,운동시설,"체육관, 점포",,철근콘크리트구조,(철근)콘크리트,0.0,0.0,3197.61,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1973-03-17,2022-08-13
100712435,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,10000,교육연구시설,교 사,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,3102.93,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,1958-09-30,2022-08-13
100712430,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,10000,교육연구시설,교육연구시설,,철근콘크리트구조,(철근)콘크리트,32866.0,6083.41,3298.76,18.51,48.66,12.0,5,2,0,0,0,0,0,0,0,0,52,1992-05-18,1992-06-18,1969-12-19,2022-08-13
100712434,1123010100100530003,서울특별시 동대문구 신설동 53-3번지,서울특별시 동대문구 안암로 6 (신설동),,,일반건축물,10000,교육연구시설,교육연구및복지시설,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,2085.89,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1978-07-12,2022-08-13
1007132804,1123010100100670001,서울특별시 동대문구 신설동 67-1번지,서울특별시 동대문구 한빛로 11 (신설동),,,일반건축물,03000,제1종근린생활시설,점포,근린생활1,벽돌구조,(철근)콘크리트,340.0,189.26,683.55,55.66,195.54,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1968-09-14,2022-08-13
1007116541,1123010100100690001,서울특별시 동대문구 신설동 69-1번지,서울특별시 동대문구 한빛로 13 (신설동),,,일반건축물,04000,제2종근린생활시설,제2근린생활시설 외1,근린생활2,철근콘크리트구조,(철근)콘크리트,185.0,105.59,411.57,57.07,202.65,10.9,4,1,0,0,0,0,0,0,0,0,0,,,1976-04-26,2022-08-13
1007110565,1123010100100710000,서울특별시 동대문구 신설동 71번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1007122529,1123010100100710003,서울특별시 동대문구 신설동 71-3번지,서울특별시 동대문구 한빛로 15 (신설동),,1,일반건축물,03000,제1종근린생활시설,제1종근린생활시설 외1,근린생활1,철근콘크리트구조,(철근)콘크리트,412.0,167.1,578.64,40.56,118.52,9.7,3,1,0,0,0,0,0,0,0,0,3,1994-03-30,1994-05-06,1994-09-17,2022-08-13
1007112523,1123010100100710005,서울특별시 동대문구 신설동 71-5번지,서울특별시 동대문구 한빛로 17-2 (신설동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,52.89,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100717725,1123010100100710010,서울특별시 동대문구 신설동 71-10번지,,신설동 71-10,주건축물제1동,일반건축물,03000,제1종근린생활시설,"근린생활시설, 점포",근린생활1,경량철골구조,기타지붕,63.0,52.44,104.88,83.2381,166.4762,6.62,2,0,0,0,0,0,0,0,0,0,0,,,,2025-11-07
1007126500,1123010100100710011,서울특별시 동대문구 신설동 71-11번지,서울특별시 동대문구 한빛로 17 (신설동),,,일반건축물,03000,제1종근린생활시설,점포 외 1,근린생활1,철근콘크리트구조,(철근)콘크리트,66.0,62.64,137.91,94.91,187.42,7.3,2,1,0,0,0,0,1,0,0,0,0,,,1969-07-03,2022-08-13
10071100256555,1123010100100720008,서울특별시 동대문구 신설동 72-8번지,서울특별시 동대문구 한빛로 20 (신설동),스테이 하이 오피스텔,,표제부,14000,업무시설,"업무시설, 근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,650.0,381.62,4818.37,58.71,681.27,45.5,15,1,1,1,110,0,0,54,0,3,0,2018-08-16,2018-12-10,2020-05-07,2022-08-13
1007130538,1123010100100720010,서울특별시 동대문구 신설동 72-10번지,서울특별시 동대문구 한빛로 18 (신설동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설 외1,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,362.94,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,1969-06-10,2022-08-13
1007130277,1123010100100730001,서울특별시 동대문구 신설동 73-1번지,서울특별시 동대문구 한빛로 16-1 (신설동),,,일반건축물,04000,제2종근린생활시설,제1종근린생활시설 외3,근린생활2,철근콘크리트구조,기타지붕,0.0,0.0,248.06,0.0,0.0,0.0,3,0,0,0,0,0,1,0,0,0,0,,,1968-09-23,2022-08-13
1007133685,1123010100100730002,서울특별시 동대문구 신설동 73-2번지,서울특별시 동대문구 왕산로 17-12 (신설동),,,일반건축물,03000,제1종근린생활시설,근린생활시설 외1,근린생활1,철근콘크리트구조,기타지붕,215.0,105.8,632.94,49.21,233.09,14.1,5,1,0,0,0,0,6,0,0,4,0,1983-12-29,,1984-05-03,2022-08-13
10071100206344,1123010100100730004,서울특별시 동대문구 신설동 73-4번지,서울특별시 동대문구 왕산로 21-15 (신설동),,,표제부,02000,공동주택,다세대주택(도시형생활주택) 외 1,,철근콘크리트구조,(철근)콘크리트,184.92,107.89,497.26,58.34,268.91,17.85,6,0,1,0,0,13,0,0,0,3,0,2012-12-24,2013-02-25,2014-02-26,2022-08-13
1007114914,1123010100100730005,서울특별시 동대문구 신설동 73-5번지,서울특별시 동대문구 왕산로 17-10 (신설동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설 외3,근린생활2,철근콘크리트구조,기타지붕,102.0,69.49,238.37,68.13,168.62,8.3,3,1,0,0,0,0,0,0,0,0,0,,,1975-07-26,2022-08-13
1007121609,1123010100100740002,서울특별시 동대문구 신설동 74-2번지,서울특별시 동대문구 한빛로 16 (신설동),,,일반건축물,03000,제1종근린생활시설,"점포, 근린생활시설(사무실)",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,281.24,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,1961-04-25,2022-08-13
100716679,1123010100100760010,서울특별시 동대문구 신설동 76-10번지,서울특별시 동대문구 왕산로 19 (신설동),,제일화재 강북사옥,일반건축물,14000,업무시설,업무시설 외 1,업무시설,철골철근콘크리트구조,기타지붕,831.72,493.09,8937.88,59.29,774.6,67.5,14,4,2,0,0,0,0,80,0,0,1,2005-02-23,2005-11-23,2007-12-21,2022-08-13
