mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10181100184000,1153010100102700002,서울특별시 구로구 신도림동 270-2번지,서울특별시 구로구 경인로67길 159 (신도림동),,신도림고등학교,일반건축물,10000,교육연구시설,교육연구시설(고등학교),,철골철근콘크리트구조,기타지붕,13527.0,3417.29,11312.04,25.26,83.17,16.8,4,1,1,0,0,0,0,0,0,0,45,2007-12-01,2009-02-02,2009-02-19,2026-06-08
10181100189145,1153010100102710025,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144 (신도림동),신도림삼성쉐르빌 1,102동,표제부,14000,업무시설,업무시설(오피스텔),업무시설,철근콘크리트구조,(철근)콘크리트,0.0,239.79,5066.79,0.0,0.0,63.0,17,3,0,1,0,32,0,0,0,0,0,2004-02-16,2006-02-24,2010-02-17,2022-08-13
10181100189178,1153010100102710025,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144 (신도림동),신도림삼성쉐르빌 1,103동,표제부,14000,업무시설,"업무시설(오피스텔),제2종근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,0.0,409.16,13563.97,0.0,0.0,105.0,29,3,1,1,0,85,0,0,0,0,0,2004-02-16,2006-02-24,2010-02-17,2022-08-13
10181100189264,1153010100102710025,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144 (신도림동),신도림삼성쉐르빌 1,101동,표제부,14000,업무시설,업무시설(오피스텔),업무시설,철근콘크리트구조,(철근)콘크리트,0.0,416.73,13319.7,0.0,0.0,105.0,29,3,1,1,0,81,0,0,0,0,0,2004-02-16,2006-02-24,2010-02-17,2022-08-13
10181100199821,1153010100102710041,서울특별시 구로구 신도림동 271-41번지,서울특별시 구로구 신도림로19길 124 (신도림동),콜카빌,콜카빌,표제부,14000,업무시설,"업무시설(오피스텔),근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,1764.0,399.08,7872.88,22.62,298.94,47.65,15,2,0,2,141,0,0,0,0,52,19,2010-07-01,2010-07-01,2011-11-08,2022-08-13
1018118321,1153010100102760001,서울특별시 구로구 신도림동 276-1번지,서울특별시 구로구 경인로67나길 52 (신도림동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,40.03,45.68,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1976-03-06,2022-08-13
10181100229814,1153010100102760005,서울특별시 구로구 신도림동 276-5번지,서울특별시 구로구 신도림로19길 116 (신도림동),리버스타운,101동,표제부,02000,공동주택,"도시형생활주택(단지형다세대주택-16세대) 및 제1,2종근린생활시설",,철근콘크리트구조,기타지붕,690.0,215.4,999.63,31.22,144.87,23.1,7,0,1,0,8,16,0,0,0,0,0,2015-10-06,2015-10-23,2016-08-05,2022-08-13
10181100229839,1153010100102760005,서울특별시 구로구 신도림동 276-5번지,서울특별시 구로구 신도림로19길 116 (신도림동),리버스타운,102동,표제부,02000,공동주택,도시형생활주택(단지형다세대주택-10세대) 및 2종근린생활시설(사무소-6호),,철근콘크리트구조,기타지붕,690.0,140.93,662.76,20.42,96.05,23.1,7,0,1,0,6,10,0,0,0,0,0,2015-10-06,2015-10-23,2016-08-05,2022-08-13
1018115687,1153010100102760013,서울특별시 구로구 신도림동 276-13번지,서울특별시 구로구 경인로67나길 52 (신도림동),,,일반건축물,18000,창고시설,"공장, 창고",,블록구조,슬레이트,0.0,115.45,115.45,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1971-11-30,2022-08-13
1018118463,1153010100102760020,서울특별시 구로구 신도림동 276-20번지,서울특별시 구로구 구로중앙로42길 152 (신도림동),,,일반건축물,20000,자동차관련시설,자동차관련시설(정비공장),,경량철골구조,기타지붕,564.0,201.14,250.38,35.66,44.39,4.0,2,0,0,0,0,0,0,0,0,0,0,1994-04-09,1994-05-06,1994-06-22,2022-08-13
1000000000000000170930,1153010100102760027,서울특별시 구로구 신도림동 276-27번지,서울특별시 구로구 경인로67나길 51 (신도림동),J 1 오피스텔,,표제부,14000,업무시설,"업무시설(오피스텔-13호),제2종근린생활시설(일반음식점)",업무시설,철근콘크리트구조,(철근)콘크리트,256.0,147.1873,631.4762,57.5,237.37,19.1,5,1,1,0,13,0,0,0,0,0,7,2019-02-27,2019-04-27,2022-10-04,2022-10-23
10181100217914,1153010100102760032,서울특별시 구로구 신도림동 276-32번지,서울특별시 구로구 경인로67나길 45 (신도림동),골든애비뉴제1동,,표제부,14000,업무시설,업무시설(오피스텔-97호),업무시설,철근콘크리트구조,(철근)콘크리트,0.0,307.49,3981.09,0.0,0.0,31.4,10,2,1,0,97,0,0,0,0,0,0,2012-03-29,2012-06-01,2014-08-22,2022-08-13
10181100218012,1153010100102760032,서울특별시 구로구 신도림동 276-32번지,서울특별시 구로구 경인로67나길 45 (신도림동),골든애비뉴제2동,,표제부,03000,제1종근린생활시설,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조,기타지붕,0.0,50.02,36.16,0.0,0.0,5.2,1,1,0,0,1,0,0,0,0,0,0,2012-03-29,2012-06-01,2014-08-22,2022-08-13
1018123148,1153010100102760046,서울특별시 구로구 신도림동 276-46번지,서울특별시 구로구 신도림로11라길 75 (신도림동),,,일반건축물,17000,공장,공장,,블록구조,슬레이트,0.0,385.19,424.36,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-08-28,2022-08-13
1018122105,1153010100102760047,서울특별시 구로구 신도림동 276-47번지,서울특별시 구로구 신도림로11라길 71 (신도림동),,,일반건축물,17000,공장,공장,,벽돌구조,슬레이트,0.0,338.38,384.26,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-08-31,2022-08-13
101817056,1153010100102760048,서울특별시 구로구 신도림동 276-48번지,서울특별시 구로구 신도림로11라길 71-7 (신도림동),,,일반건축물,17000,공장,공장,,벽돌구조,슬레이트,0.0,201.95,222.45,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-11-24,2022-08-13
1018116905,1153010100102760050,서울특별시 구로구 신도림동 276-50번지,서울특별시 구로구 신도림로11라길 71-8 (신도림동),,,일반건축물,17000,공장,공장,,블록구조,슬레이트,0.0,157.82,162.84,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-08-11,2022-08-13
1018115663,1153010100102760051,서울특별시 구로구 신도림동 276-51번지,서울특별시 구로구 신도림로11라길 71-10 (신도림동),,,일반건축물,17000,공장,공장,,벽돌구조,슬레이트,0.0,200.2,221.09,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-11-24,2022-08-13
1018111515,1153010100102760052,서울특별시 구로구 신도림동 276-52번지,서울특별시 구로구 신도림로11라길 71-9 (신도림동),,,일반건축물,17000,공장,공장,,벽돌구조,슬레이트,0.0,200.2,221.09,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1977-03-12,2022-08-13
1018116535,1153010100102760056,서울특별시 구로구 신도림동 276-56번지,서울특별시 구로구 신도림로19길 108 (신도림동),신도림빗물펌프장,,일반건축물,03000,제1종근린생활시설,유수지,근린생활1,철근콘크리트구조,,0.0,373.64,373.64,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1978-10-07,2022-08-13
101817930,1153010100102760059,서울특별시 구로구 신도림동 276-59번지,서울특별시 구로구 구로중앙로42길 146 (신도림동),,,일반건축물,17000,공장,공장,,철근콘크리트구조,(철근)콘크리트,0.0,1120.46,1187.63,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1975-09-01,2022-08-13
1018123701,1153010100102770002,서울특별시 구로구 신도림동 277-2번지,서울특별시 구로구 신도림로19길 100 (신도림동),,,일반건축물,14000,업무시설,"업무시설, 근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,0.0,164.56,658.24,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1989-11-09,,1991-06-21,2022-08-13
1018122217,1153010100102790001,서울특별시 구로구 신도림동 279-1번지,서울특별시 구로구 신도림로11라길 67 (신도림동),,,일반건축물,17000,공장,공장,,블록구조,슬레이트,0.0,167.64,187.51,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-03-15,2022-08-13
1018120739,1153010100102790003,서울특별시 구로구 신도림동 279-3번지,서울특별시 구로구 신도림로15길 77 (신도림동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,벽돌구조,기와,0.0,78.55,78.55,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-09-24,2022-08-13
1018123925,1153010100102790004,서울특별시 구로구 신도림동 279-4번지,서울특별시 구로구 신도림로11라길 55 (신도림동),,,표제부,02000,공동주택,연립주택,,벽돌구조,기와,0.0,263.87,299.14,0.0,0.0,0.0,1,1,0,0,0,4,0,0,0,0,0,,,1975-08-30,2022-08-13
1018114504,1153010100102790005,서울특별시 구로구 신도림동 279-5번지,서울특별시 구로구 신도림로11라길 53-5 (신도림동),,,일반건축물,01000,단독주택,연립주택,,벽돌구조,기와,0.0,76.27,76.27,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1975-08-22,2022-08-13
1018123775,1153010100102790008,서울특별시 구로구 신도림동 279-8번지,서울특별시 구로구 신도림로11라길 53-3 (신도림동),,,일반건축물,04000,제2종근린생활시설,연립주택,근린생활2,벽돌구조,기와,0.0,79.31,97.82,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1975-08-22,2022-08-13
101815019,1153010100102790009,서울특별시 구로구 신도림동 279-9번지,서울특별시 구로구 신도림로11라길 53 (신도림동),,,일반건축물,18000,창고시설,"연립주택, 창고",,벽돌구조,기와,0.0,76.27,94.75,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1975-08-22,2022-08-13
1018115921,1153010100102790011,서울특별시 구로구 신도림동 279-11번지,서울특별시 구로구 신도림로11라길 63 (신도림동),,,일반건축물,03000,제1종근린생활시설,"제1,2종근린생활시설",근린생활1,벽돌구조,기와,0.0,67.8,67.8,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-09-24,2026-07-29
1018121304,1153010100102790012,서울특별시 구로구 신도림동 279-12번지,서울특별시 구로구 신도림로11라길 61 (신도림동),,,일반건축물,01000,단독주택,연립주택,,벽돌구조,기와,0.0,72.66,88.2,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1975-09-24,2022-08-13
101817536,1153010100102790013,서울특별시 구로구 신도림동 279-13번지,서울특별시 구로구 신도림로11라길 59-4 (신도림동),,,일반건축물,18000,창고시설,창고,,벽돌구조,기와,0.0,70.84,86.38,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1975-09-24,2022-08-13
1018123110,1153010100102800001,서울특별시 구로구 신도림동 280-1번지,서울특별시 구로구 신도림로11라길 47-6 (신도림동),,,표제부,02000,공동주택,다세대주택,,철근콘크리트구조,(철근)콘크리트,332.69,132.0,396.0,39.68,119.03,8.6,3,0,0,0,0,6,0,0,0,0,0,1996-11-05,1997-03-14,1997-06-10,2022-08-13
1018115990,1153010100102800002,서울특별시 구로구 신도림동 280-2번지,서울특별시 구로구 신도림로11라길 41 (신도림동),,,일반건축물,20000,자동차관련시설,자동차관련시설,,경량철골구조,기타지붕,608.0,36.0,36.0,5.92,5.92,4.3,1,0,0,0,0,0,0,0,0,0,0,2002-11-15,2002-11-19,2002-12-11,2022-08-13
1018118318,1153010100102800006,서울특별시 구로구 신도림동 280-6번지,서울특별시 구로구 신도림로11라길 44 (신도림동),,,일반건축물,17000,공장,"공장, 사무실",,블록구조,슬레이트,0.0,428.37,701.25,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1974-08-06,2022-08-13
1018124009,1153010100102800012,서울특별시 구로구 신도림동 280-12번지,서울특별시 구로구 신도림로11라길 47 (신도림동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,152.0,87.87,348.0,57.81,166.56,10.3,3,1,0,0,0,0,0,0,0,0,3,1992-08-26,1992-09-26,1993-02-02,2022-08-13
1018116869,1153010100102800013,서울특별시 구로구 신도림동 280-13번지,서울특별시 구로구 신도림로11라길 47-1 (신도림동),,,일반건축물,01000,단독주택,연립주택,,벽돌구조,(철근)콘크리트,0.0,57.12,112.05,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1976-09-13,2022-08-13
101816837,1153010100102800014,서울특별시 구로구 신도림동 280-14번지,서울특별시 구로구 신도림로11라길 47-7 (신도림동),,,표제부,02000,공동주택,연립주택,,벽돌구조,(철근)콘크리트,0.0,130.48,150.45,0.0,0.0,0.0,1,1,0,0,0,2,0,0,0,0,0,,,1976-12-08,2022-08-13
1018120948,1153010100102800015,서울특별시 구로구 신도림동 280-15번지,서울특별시 구로구 신도림로11라길 47-9 (신도림동),,,일반건축물,01000,단독주택,다가구용단독주택,,벽돌구조,(철근)콘크리트,150.65,90.34,345.72,59.97,175.92,10.2,3,1,0,0,0,0,8,0,0,0,2,1993-02-22,1993-06-17,1993-08-11,2022-08-13
1018123813,1153010100102800017,서울특별시 구로구 신도림동 280-17번지,서울특별시 구로구 신도림로11라길 47-3 (신도림동),,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설,근린생활1,벽돌구조,기와,0.0,57.12,57.12,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-02-15,2022-08-13
1018112600,1153010100102800019,서울특별시 구로구 신도림동 280-19번지,서울특별시 구로구 신도림로11라길 45 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,벽돌구조,(철근)콘크리트,0.0,84.3,112.3,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1982-09-29,2022-08-13
101819468,1153010100102800021,서울특별시 구로구 신도림동 280-21번지,서울특별시 구로구 신도림로11라길 46 (신도림동),,,일반건축물,04000,제2종근린생활시설,"사무실, 점포",근린생활2,벽돌구조,(철근)콘크리트,0.0,292.06,351.36,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1975-06-11,2024-06-19
101811114,1153010100102800023,서울특별시 구로구 신도림동 280-23번지,서울특별시 구로구 신도림로11라길 50 (신도림동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 다가구용단독주택",근린생활1,철근콘크리트구조,(철근)콘크리트,129.0,75.78,299.88,58.74,173.72,0.0,3,1,0,0,0,0,2,0,0,0,0,1992-10-12,,1993-01-25,2022-08-13
101811113,1153010100102800023,서울특별시 구로구 신도림동 280-23번지,서울특별시 구로구 신도림로11라길 50 (신도림동),,,일반건축물,01000,단독주택,"주택, 근린생활시설, 연립주택, 위험물저장및처리시설, 점포",,벽돌구조,(철근)콘크리트,0.0,62.81,120.75,0.0,0.0,0.0,2,1,0,0,0,0,2,0,0,0,0,,,1976-10-18,2022-08-13
101815446,1153010100102800024,서울특별시 구로구 신도림동 280-24번지,서울특별시 구로구 신도림로11라길 54 (신도림동),삼일빌딩,,일반건축물,03000,제1종근린생활시설,"점포, 제2종근린생활시설",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,109.09,393.06,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1982-01-20,2022-08-13
1018112016,1153010100102800026,서울특별시 구로구 신도림동 280-26번지,서울특별시 구로구 신도림로15길 21-35 (신도림동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,135.57,77.56,299.78,57.21,162.63,10.1,3,1,0,0,0,0,1,0,0,0,0,1992-03-07,,1993-06-03,2022-08-13
1018111543,1153010100102810001,서울특별시 구로구 신도림동 281-1번지,서울특별시 구로구 신도림로15길 80 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
101814677,1153010100102810009,서울특별시 구로구 신도림동 281-9번지,서울특별시 구로구 신도림로15길 82 (신도림동),,,일반건축물,17000,공장,공장,,블록구조,(철근)콘크리트,0.0,109.92,118.05,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
1018114911,1153010100102810011,서울특별시 구로구 신도림동 281-11번지,서울특별시 구로구 신도림로15길 86 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,54.45,54.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018115732,1153010100102810012,서울특별시 구로구 신도림동 281-12번지,서울특별시 구로구 신도림로15길 88 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,40.86,40.86,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018110971,1153010100102810013,서울특별시 구로구 신도림동 281-13번지,서울특별시 구로구 신도림로15길 90 (신도림동),,,일반건축물,01000,단독주택,"주택, 점포",,블록구조,기와,0.0,53.82,53.82,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018111647,1153010100102810029,서울특별시 구로구 신도림동 281-29번지,서울특별시 구로구 신도림로15길 81 (신도림동),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 창고",근린생활2,일반철골구조,기타지붕,165.02,109.81,324.61,66.54,196.71,13.8,4,0,0,0,0,0,0,0,0,0,2,1997-06-10,1997-07-23,1998-02-26,2022-08-13
1018119894,1153010100102810033,서울특별시 구로구 신도림동 281-33번지,서울특별시 구로구 신도림로15길 83 (신도림동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설(제조업소),근린생활2,블록구조,기와,0.0,44.55,44.55,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
1018114684,1153010100102810034,서울특별시 구로구 신도림동 281-34번지,서울특별시 구로구 신도림로15길 83-1 (신도림동),,,일반건축물,18000,창고시설,창고,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
1018110566,1153010100102810035,서울특별시 구로구 신도림동 281-35번지,서울특별시 구로구 신도림로15길 85 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018117381,1153010100102810036,서울특별시 구로구 신도림동 281-36번지,서울특별시 구로구 신도림로15길 87 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
101816409,1153010100102810037,서울특별시 구로구 신도림동 281-37번지,서울특별시 구로구 신도림로11라길 59-18 (신도림동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,103.85,465.15,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,1989-12-27,,1991-04-10,2022-08-13
1018117927,1153010100102810039,서울특별시 구로구 신도림동 281-39번지,서울특별시 구로구 신도림로15길 91 (신도림동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,128.0,494.49,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1988-12-30,,1989-07-03,2022-08-13
1018117258,1153010100102810040,서울특별시 구로구 신도림동 281-40번지,서울특별시 구로구 신도림로15길 95 (신도림동),,,일반건축물,17000,공장,공장,,벽돌구조,(철근)콘크리트,0.0,80.56,80.56,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
101817097,1153010100102810041,서울특별시 구로구 신도림동 281-41번지,서울특별시 구로구 구로중앙로42길 136 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,97.98,323.73,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1989-01-15,,1989-06-26,2022-08-13
1018117285,1153010100102810043,서울특별시 구로구 신도림동 281-43번지,서울특별시 구로구 신도림로11라길 59-20 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,40.86,40.86,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018118995,1153010100102810045,서울특별시 구로구 신도림동 281-45번지,서울특별시 구로구 신도림로11라길 59-16 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,블록구조,기와,0.0,43.8,43.8,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
101815852,1153010100102810046,서울특별시 구로구 신도림동 281-46번지,서울특별시 구로구 신도림로11라길 59-14 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018119792,1153010100102810047,서울특별시 구로구 신도림동 281-47번지,서울특별시 구로구 신도림로11라길 59-12 (신도림동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,블록구조,기와,0.0,40.64,40.64,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1976-05-03,2022-08-13
1018121269,1153010100102810048,서울특별시 구로구 신도림동 281-48번지,서울특별시 구로구 신도림로11라길 59-10 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
101817317,1153010100102810049,서울특별시 구로구 신도림동 281-49번지,서울특별시 구로구 신도림로11라길 59-8 (신도림동),,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,27.44,27.44,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1976-05-03,2022-08-13
1018115724,1153010100102810068,서울특별시 구로구 신도림동 281-68번지,서울특별시 구로구 신도림로11라길 59-7 (신도림동),,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,93.76,114.36,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1976-10-12,2022-08-13
101816367,1153010100102810069,서울특별시 구로구 신도림동 281-69번지,서울특별시 구로구 신도림로11라길 59-9 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,197.0,116.8,132.8,59.29,59.29,4.7,1,1,0,0,0,0,0,0,0,0,0,1992-05-18,1992-05-30,1992-10-08,2022-08-13
101819026,1153010100102810070,서울특별시 구로구 신도림동 281-70번지,,,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설(제조업소),근린생활2,벽돌구조,기와,0.0,62.98,62.98,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-07-25,2022-08-13
101815249,1153010100102810071,서울특별시 구로구 신도림동 281-71번지,서울특별시 구로구 신도림로11라길 59-13 (신도림동),,,일반건축물,01000,단독주택,"주택, 근린생활시설",,철근콘크리트구조,(철근)콘크리트,0.0,116.69,271.85,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,1987-09-30,,1988-05-12,2022-08-13
1018122749,1153010100102810072,서울특별시 구로구 신도림동 281-72번지,서울특별시 구로구 신도림로15길 87-8 (신도림동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,벽돌구조,(철근)콘크리트,233.0,105.65,180.39,45.34,77.42,7.2,2,0,0,0,0,0,1,0,0,0,0,,,1975-07-25,2022-08-13
1018120136,1153010100102810073,서울특별시 구로구 신도림동 281-73번지,서울특별시 구로구 구로중앙로42길 128-5 (신도림동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설(제조업소),근린생활2,벽돌구조,(철근)콘크리트,0.0,112.29,224.58,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,,,1975-07-25,2022-08-13
1018114049,1153010100102810074,서울특별시 구로구 신도림동 281-74번지,서울특별시 구로구 구로중앙로42길 128-1 (신도림동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,블록구조,슬레이트,231.0,75.6,75.6,32.73,32.73,3.5,1,0,0,0,0,0,0,0,0,0,0,1992-11-16,1992-11-25,1992-12-09,2022-08-13
1018114061,1153010100102810095,서울특별시 구로구 신도림동 281-95번지,서울특별시 구로구 신도림로11라길 47-8 (신도림동),,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,98.79,98.79,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1975-07-25,2022-08-13
1018110129,1153010100102810096,서울특별시 구로구 신도림동 281-96번지,서울특별시 구로구 구로중앙로42길 128-14 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,일반철골구조,슬레이트,97.0,66.78,66.78,68.85,68.85,5.9,1,0,0,0,0,0,0,0,0,0,0,1996-05-28,1996-06-05,1996-07-03,2022-08-13
1018110644,1153010100102810097,서울특별시 구로구 신도림동 281-97번지,서울특별시 구로구 구로중앙로42길 126-9 (신도림동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,벽돌구조,(철근)콘크리트,218.0,129.7,224.94,59.5,103.18,6.8,2,0,0,0,0,0,0,0,0,0,0,,,1976-12-30,2022-08-13
1018116107,1153010100102810098,서울특별시 구로구 신도림동 281-98번지,서울특별시 구로구 구로중앙로42길 128-8 (신도림동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,벽돌구조,기와,0.0,132.47,144.72,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-08-28,2022-08-13
1018115061,1153010100102810099,서울특별시 구로구 신도림동 281-99번지,,,,일반건축물,18000,창고시설,창고,,벽돌구조,기타지붕,0.0,134.4,134.4,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1991-01-14,,1991-03-12,2022-08-13
1018120610,1153010100102810100,서울특별시 구로구 신도림동 281-100번지,서울특별시 구로구 구로중앙로42길 128 (신도림동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,144.255,617.52,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1988-04-16,,1988-08-16,2022-08-13
1018113874,1153010100102810119,서울특별시 구로구 신도림동 281-119번지,서울특별시 구로구 구로중앙로42길 126-12 (신도림동),,,일반건축물,04000,제2종근린생활시설,"제2종근린생활시설,공장",근린생활2,벽돌구조,기와,0.0,95.78,95.78,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1975-07-24,2022-08-13
1018113540,1153010100102810121,서울특별시 구로구 신도림동 281-121번지,서울특별시 구로구 구로중앙로42길 126-6 (신도림동),,,표제부,04000,제2종근린생활시설,"연립주택, 근린생활시설, 창고",근린생활2,벽돌구조,(철근)콘크리트,258.0,152.76,303.55,59.21,113.94,0.0,2,1,0,0,1,1,1,0,0,0,0,,,1977-12-26,2022-08-13
